W,Q2,eps,cos_th,Su,dSu,Slt,dSlt,Stt,dStt
2.225,2.6,0.5833,0.5,5.921,1.27598,-1.031,2.1434,-0.111,3.35403
2.225,2.6,0.5833,0.675,8.139,1.55997,-2.41,2.347,-2.956,4.03983
2.225,2.6,0.5833,0.825,13.118,2.53006,-5.472,3.7471,0.091,5.97901
2.225,2.6,0.5833,0.95,21.002,3.10863,0.074,3.68601,-3.446,6.80396
2.275,2.6,0.5516,-0.775,1.965,0.414592,0.389,0.579789,-0.298,1.04158
2.275,2.6,0.5516,-0.525,2.045,0.414441,0.482,0.604636,-0.49,1.03659
2.275,2.6,0.5516,-0.3,1.293,0.354239,-0.806,0.552113,0.397,0.962122
2.275,2.6,0.5516,-0.1,1.784,0.50084,-0.461,0.766899,0.266,1.36336
2.275,2.6,0.5516,0.1,2.396,0.552139,0.028,0.825007,-0.042,1.45601
2.275,2.6,0.5516,0.3,3.714,0.745996,-1.155,1.14202,0.207,1.94015
2.275,2.6,0.5516,0.5,6.022,1.41028,0.109,2.55003,1.152,3.91532
2.275,2.6,0.5516,0.675,10.532,1.8094,-1.766,2.77969,1.951,4.57769
2.275,2.6,0.5516,0.825,19.749,3.57841,1.867,5.6852,4.231,8.09116
2.275,2.6,0.5516,0.95,32.879,4.11594,-2.188,4.46534,-6.202,8.69932
2.325,2.6,0.5195,-0.775,1.168,0.323503,-0.27,0.469065,-0.649,0.935088
2.325,2.6,0.5195,-0.525,0.948,0.283852,0.478,0.465373,0.154,0.716227
2.325,2.6,0.5195,-0.3,1.583,0.393997,-0.851,0.648687,0.737,1.13428
2.325,2.6,0.5195,-0.1,2.284,0.531117,-0.189,0.855286,0.937,1.49203
2.325,2.6,0.5195,0.1,2.061,0.526842,-0.011,0.865001,1.072,1.50225
2.325,2.6,0.5195,0.3,3.975,0.760403,-1.525,1.15882,-0.826,2.08324
2.325,2.6,0.5195,0.5,4.76,0.919007,-2.89,1.45776,-3.519,2.60178
2.325,2.6,0.5195,0.675,7.07,1.47105,-2.982,2.55692,-4.853,4.47021
2.325,2.6,0.5195,0.825,17.842,2.72168,-8.498,3.81774,-9.288,6.78163
2.325,2.6,0.5195,0.95,28.502,3.98769,-1.047,4.92652,-3.881,9.53781
2.375,2.6,0.4817,-0.775,0.759,0.272211,0.777,0.509181,0.568,0.69817
2.375,2.6,0.4817,-0.525,0.93,0.290199,0.311,0.485366,-0.152,0.867182
2.375,2.6,0.4817,-0.3,1.355,0.416109,-0.707,0.735665,0.607,1.30194
2.375,2.6,0.4817,-0.1,0.935,0.372966,-0.365,0.648408,0.199,1.18923
2.375,2.6,0.4817,0.1,1.016,0.416419,-0.247,0.705592,-0.029,1.328
2.375,2.6,0.4817,0.3,3.022,0.675123,-1.378,1.08406,-1.146,2.08332
2.375,2.6,0.4817,0.5,5.244,1.21186,-2.254,2.20681,-0.991,3.71981
2.375,2.6,0.4817,0.675,13.243,2.7624,-0.522,5.61433,6.341,9.19
2.375,2.6,0.4817,0.825,19.215,3.29512,-4.455,5.50075,-12.603,9.25324
2.375,2.6,0.4817,0.95,26.84,4.09645,-4.775,5.42285,-7.506,11.1626
2.425,2.6,0.435054,-0.525,1.01549,0.262252,0.107094,0.428176,-0.479285,0.778512
2.425,2.6,0.435054,-0.3,1.73409,0.419382,-0.851426,0.799134,-0.667122,1.31556
2.425,2.6,0.435054,-0.1,0.895992,0.327573,-0.669987,0.595065,0.880681,1.0906
2.425,2.6,0.435054,0.1,0.842014,0.367448,-0.263493,0.645891,-0.000473469,1.24402
2.425,2.6,0.435054,0.3,3.36608,0.698417,-1.62757,1.1421,-0.108113,2.19544
2.425,2.6,0.435054,0.5,4.56954,1.05947,-2.70112,2.01096,-0.728881,3.43728
2.425,2.6,0.435054,0.825,17.9233,3.19575,-2.80471,5.85149,-10.5519,9.72623
2.425,2.6,0.435054,0.95,24.2891,3.94424,-6.10393,6.06628,-6.66817,12.5817
2.475,2.6,0.396627,-0.525,0.58713,0.180866,0.0753939,0.314848,0.176579,0.613788
2.475,2.6,0.396627,-0.3,0.919534,0.303703,-0.613467,0.633717,-0.152617,1.08136
2.475,2.6,0.396627,-0.1,0.310866,0.23451,-0.25973,0.460713,-0.270979,0.893591
2.475,2.6,0.396627,0.1,0.970634,0.33109,-0.329065,0.603115,-0.00858163,1.17808
2.475,2.6,0.396627,0.3,1.21244,0.441995,-0.216025,0.880479,0.317132,1.71642
2.475,2.6,0.396627,0.5,5.84034,1.2183,-0.515515,2.20182,-0.821461,3.76647
2.475,2.6,0.396627,0.825,17.1985,2.96302,-4.70908,5.60012,-13.2681,9.5287
2.475,2.6,0.396627,0.95,26.4851,4.23485,-6.80887,6.08795,-18.3589,13.9709
2.525,2.6,0.356167,-0.525,0.836367,0.216595,0.113948,0.381078,-0.1824,0.72531
2.525,2.6,0.356167,-0.3,0.202181,0.198016,0.0123794,0.457792,-0.0578095,0.759279
2.525,2.6,0.356167,-0.1,0.568322,0.237767,-0.762466,0.48114,0.787532,0.871206
2.525,2.6,0.356167,0.1,0.0383867,0.158242,-0.00925244,0.321033,0.000177551,0.647
2.525,2.6,0.356167,0.3,1.51634,0.442958,-1.90532,0.892752,0.187396,1.74805
2.525,2.6,0.356167,0.5,2.88859,0.761282,-2.2643,1.57619,-0.516331,2.96007
2.525,2.6,0.356167,0.825,21.1125,3.76856,-0.323375,8.577,-5.06278,12.8392
2.525,2.6,0.356167,0.95,28.9754,4.45051,-11.2259,6.8064,-7.17723,14.5019
2.575,2.6,0.313692,-0.775,0.342205,0.160139,3.44912,0.328277,-4.47187,0.489641
2.575,2.6,0.313692,-0.525,0.272305,0.129446,0.243317,0.290004,-0.523915,0.519321
2.575,2.6,0.313692,-0.3,1.11685,0.2896,-0.500677,0.636353,-0.643998,1.08643
2.575,2.6,0.313692,-0.1,0.0924198,0.143958,-0.112156,0.353405,1.02887,0.659652
2.575,2.6,0.313692,0.1,0.113664,0.190699,-0.060342,0.42393,-0.0137898,0.801756
2.575,2.6,0.313692,0.3,0.509841,0.309362,-0.391797,0.700451,0.348365,1.42742
2.575,2.6,0.313692,0.5,2.7317,0.765287,-0.714808,1.76279,-0.265591,3.17639
2.575,2.6,0.313692,0.825,17.8683,3.94808,-0.47081,12.6864,-4.2464,18.9998
2.575,2.6,0.313692,0.95,23.1941,4.0072,-7.76175,6.99994,-17.7014,16.4645
1.695,3.45,0.7114,-0.775,3.866,2.20661,0.207,2.60211,-0.124,4.81002
1.695,3.45,0.7114,-0.525,6.059,3.14446,-0.592,2.9908,-4.685,6.78817
1.695,3.45,0.7114,-0.3,7.014,2.68893,2.934,3.31681,-1.294,5.67102
1.695,3.45,0.7114,-0.1,6.433,3.08977,1.227,4.2974,0.136,6.40602
1.695,3.45,0.7114,0.1,4.029,2.55208,2.735,3.68094,1.168,5.00487
1.695,3.45,0.7114,0.3,4.27,2.18042,-0.759,2.75343,1.484,4.74218
1.695,3.45,0.7114,0.5,5.18,2.74751,0.784,3.45122,-2.096,5.99502
1.695,3.45,0.7114,0.675,1.271,2.85405,0.177,3.72906,0.115,6.91601
1.695,3.45,0.7114,0.825,0.202,6.22202,0.021,4.027,-0.133,14.116
1.695,3.45,0.7114,0.95,2.532,3.95386,1.334,5.52321,1.993,10.0887
1.725,3.45,0.6922,-0.775,6.206,1.24072,-2.219,1.36492,-1.067,2.56304
1.725,3.45,0.6922,-0.525,9.89,1.5878,4.154,1.8606,1.47,2.69749
1.725,3.45,0.6922,-0.3,9.254,1.60584,1.538,1.59419,-4.763,3.08672
1.725,3.45,0.6922,-0.1,7.303,1.52414,-0.045,1.57201,-4.207,3.16254
1.725,3.45,0.6922,0.1,6.684,1.39038,0.341,1.73246,2.637,2.83186
1.725,3.45,0.6922,0.3,5.231,1.31543,2.735,2.0284,5.574,3.14829
1.725,3.45,0.6922,0.5,5.479,1.3068,0.019,1.509,-0.367,2.73334
1.725,3.45,0.6922,0.675,8.256,1.76638,0.116,1.65606,-6.203,3.72145
1.725,3.45,0.6922,0.825,10.332,1.99024,2.6,2.25957,-1.334,3.86915
1.725,3.45,0.6922,0.95,10.169,2.68588,2.788,2.86563,-8.528,5.65768
1.775,3.45,0.6741,-0.775,4.461,1.58114,0.532,2.39681,1.928,3.34262
1.775,3.45,0.6741,-0.525,5.523,1.07403,-1.867,1.23842,-1.475,2.25761
1.775,3.45,0.6741,-0.3,9.408,1.60102,-0.35,2.14339,-0.543,3.50558
1.775,3.45,0.6741,-0.1,6.178,1.44295,1.032,2.02261,2.333,2.98252
1.775,3.45,0.6741,0.1,9.419,1.78377,1.251,2.2338,-0.765,3.47315
1.775,3.45,0.6741,0.3,7.924,1.57887,-2.299,1.52097,-5.189,3.37899
1.775,3.45,0.6741,0.5,11.771,1.94164,0.613,2.07224,0.276,3.67914
1.775,3.45,0.6741,0.675,18.349,2.61021,4.38,2.74231,2,4.60195
1.775,3.45,0.6741,0.825,16.261,2.32135,-0.778,2.39973,1.262,4.30653
1.775,3.45,0.6741,0.95,13.762,2.94802,1.375,3.52367,-1.417,6.2472
1.825,3.45,0.6506,-0.775,4.503,1.15808,-1.482,1.54476,-2.256,2.70989
1.825,3.45,0.6506,-0.525,6.666,1.25695,0.461,1.72284,1.312,2.69238
1.825,3.45,0.6506,-0.3,9.227,1.43608,1.471,1.84206,-2.703,3.05641
1.825,3.45,0.6506,-0.1,14.685,1.88687,-3.509,1.78973,-10.133,3.64046
1.825,3.45,0.6506,0.1,17.843,2.23968,-2.7,2.20673,-10.502,4.21124
1.825,3.45,0.6506,0.3,14.15,2.11112,-1.926,2.55795,-2.26,4.1684
1.825,3.45,0.6506,0.5,18.2,2.52532,1.56,2.62136,-6.821,4.61946
1.825,3.45,0.6506,0.675,15.083,2.17502,-2.572,2.37812,4.601,4.27503
1.825,3.45,0.6506,0.825,18.474,2.46646,-1.995,2.29988,-3.588,4.60717
1.825,3.45,0.6506,0.95,18.552,2.86669,-1.222,3.01239,-2.966,5.80538
1.875,3.45,0.6308,-0.775,2.722,1.1603,-0.364,1.98346,-0.814,3.15544
1.875,3.45,0.6308,-0.525,6.282,1.13805,-0.438,1.41993,-6.064,2.60257
1.875,3.45,0.6308,-0.3,12.623,1.9248,0.715,2.59335,-5.076,4.04978
1.875,3.45,0.6308,-0.1,13.375,1.71273,-3.857,1.84116,-9.387,3.41446
1.875,3.45,0.6308,0.1,16.576,1.98484,-2.299,1.97441,-7.166,3.59902
1.875,3.45,0.6308,0.3,18.73,2.38959,0.238,2.77914,-3.643,4.59382
1.875,3.45,0.6308,0.5,15.677,2.19402,-5.633,2.58445,-3.89,4.31209
1.875,3.45,0.6308,0.675,14.991,2.35879,-1.628,2.78253,-1.136,4.94579
1.875,3.45,0.6308,0.825,15.826,2.30115,-0.427,2.33853,-1.093,4.60078
1.875,3.45,0.6308,0.95,15.064,2.52305,-1.825,2.95473,0.493,5.40931
1.925,3.45,0.6053,-0.775,4.726,1.24934,2.062,1.82204,0.122,2.74604
1.925,3.45,0.6053,-0.525,8.189,1.27229,-0.319,1.61343,-1.535,2.75386
1.925,3.45,0.6053,-0.3,10.834,1.60948,-1.362,2.06715,0.394,3.36332
1.925,3.45,0.6053,-0.1,14.225,2.08451,-1.848,3.06863,-0.39,4.72822
1.925,3.45,0.6053,0.1,15.801,2.03212,-2.095,2.63244,-1.757,4.25697
1.925,3.45,0.6053,0.3,17.15,2.16302,1.902,2.48498,-4.91,4.25595
1.925,3.45,0.6053,0.5,14.143,2.13964,-1.664,3.03525,1.732,4.80428
1.925,3.45,0.6053,0.675,13.433,2.16888,-9.206,2.52162,-5.065,4.82652
1.925,3.45,0.6053,0.825,13.515,2.22543,0.346,2.63331,2.72,4.75366
1.925,3.45,0.6053,0.95,15.674,2.7284,-2.631,3.31034,-2.23,6.12556
1.975,3.45,0.5833,-0.775,3.922,0.925151,-1.316,1.20091,-2.742,2.53439
1.975,3.45,0.5833,-0.525,4.634,0.848913,-1.408,1.1964,0.608,2.02725
1.975,3.45,0.5833,-0.3,6.971,1.1324,-3.792,1.58151,-0.371,2.62136
1.975,3.45,0.5833,-0.1,8.866,1.37075,-0.681,1.94064,-0.665,3.18095
1.975,3.45,0.5833,0.1,9.311,1.50066,-2.128,2.24286,-1.43,3.60488
1.975,3.45,0.5833,0.3,14.105,1.89615,-1.205,2.46903,1.307,4.05289
1.975,3.45,0.5833,0.5,14.989,2.12444,1.228,2.81767,1.798,4.45197
1.975,3.45,0.5833,0.675,14.712,2.48032,-6.489,3.24409,-6.976,5.76804
1.975,3.45,0.5833,0.825,18.958,2.83377,-2.335,3.44086,4.255,6.14819
1.975,3.45,0.5833,0.95,25.759,3.46999,-0.205,3.96707,-0.866,7.25871
2.025,3.45,0.5616,-0.775,1.436,0.519542,-0.357,0.751162,-0.376,1.41368
2.025,3.45,0.5616,-0.525,2.664,0.661936,0.606,1.02146,1.692,1.61915
2.025,3.45,0.5616,-0.3,4.067,0.8032,-1.64,1.10873,-1.186,2.02576
2.025,3.45,0.5616,-0.1,4.877,0.946598,-0.122,1.39107,1.42,2.29303
2.025,3.45,0.5616,0.1,6.133,1.10561,-1.96,1.61338,-4.237,2.82681
2.025,3.45,0.5616,0.3,12.098,1.73064,-1.255,2.42245,2.333,3.91253
2.025,3.45,0.5616,0.5,13.486,1.8304,-4.189,2.48678,-3.395,4.25956
2.025,3.45,0.5616,0.675,14.386,2.32291,-6.686,3.10225,-8.001,5.54164
2.025,3.45,0.5616,0.825,16.235,2.56909,-1.387,3.33295,3.783,5.82484
2.025,3.45,0.5616,0.95,32.945,3.98912,2.249,4.32501,-1.904,7.91614
2.075,3.45,0.5394,-0.775,2.695,0.749848,0.972,1.06509,-1.304,1.94001
2.075,3.45,0.5394,-0.525,1.773,0.505965,-0.217,0.779414,-0.3,1.44243
2.075,3.45,0.5394,-0.3,2.029,0.623334,0.03,0.999006,0.334,1.70145
2.075,3.45,0.5394,-0.1,4.229,0.846151,-0.954,1.32371,3.544,2.25348
2.075,3.45,0.5394,0.1,6.005,1.13612,0.204,1.79616,-2.212,2.98026
2.075,3.45,0.5394,0.3,9.299,1.52827,-1.958,2.4348,1.271,3.93381
2.075,3.45,0.5394,0.5,11.232,1.58165,-3.629,2.12877,-3.602,3.73982
2.075,3.45,0.5394,0.675,9.792,1.76374,-6.018,2.46855,-3.97,4.52988
2.075,3.45,0.5394,0.825,16.036,2.56767,-7.393,3.1876,-6.299,6.30721
2.075,3.45,0.5394,0.95,24.984,3.28861,1.207,3.90256,-1.562,7.20832
2.125,3.45,0.5145,-0.775,1.509,0.519096,0.369,0.881058,0.602,1.44871
2.125,3.45,0.5145,-0.525,0.71,0.331539,0.001,0.542,-0.042,0.983012
2.125,3.45,0.5145,-0.3,1.623,0.568978,-0.209,0.90733,-0.338,1.69746
2.125,3.45,0.5145,-0.1,2.862,0.703406,-0.702,1.07614,-0.17,2.0221
2.125,3.45,0.5145,0.1,4.313,0.863668,-1.017,1.3632,0.55,2.33389
2.125,3.45,0.5145,0.3,4.693,1.0101,-3.203,1.76817,-2.846,3.00053
2.125,3.45,0.5145,0.5,6.943,1.36966,-0.872,2.40117,-1.383,4.00727
2.125,3.45,0.5145,0.675,9.069,1.84296,-4.126,2.80584,-6.405,5.3042
2.125,3.45,0.5145,0.825,9.148,2.26562,-2.583,3.51402,-0.633,5.97546
2.125,3.45,0.5145,0.95,17.498,2.92274,2.59,3.85593,-5.038,7.45933
2.175,3.45,0.4841,-0.775,1.327,0.471685,0.963,0.857435,1.526,1.25972
2.175,3.45,0.4841,-0.525,1.246,0.374297,-0.271,0.518969,-1.447,1.17922
2.175,3.45,0.4841,-0.3,1.524,0.512637,-0.341,0.757052,-1.158,1.61569
2.175,3.45,0.4841,-0.1,2.512,0.677525,-0.162,1.05717,-0.602,2.0742
2.175,3.45,0.4841,0.1,3.57,0.76937,-1.756,1.22633,-1.097,2.30058
2.175,3.45,0.4841,0.3,4.042,1.14096,-0.884,2.27236,-0.699,3.73989
2.175,3.45,0.4841,0.5,6.226,1.40544,-1.023,2.66669,0.905,4.45926
2.175,3.45,0.4841,0.675,4.857,1.52784,-2.93,2.73556,-1.172,4.82395
2.175,3.45,0.4841,0.825,7.607,2.22311,-4.185,3.42023,-3.565,6.5493
2.175,3.45,0.4841,0.95,11.022,2.58383,-3.122,3.933,0.886,7.74969
2.225,3.45,0.429334,-0.775,1.23546,0.421079,0.0992784,0.767648,0.825493,1.20602
2.225,3.45,0.429334,-0.525,0.804597,0.260943,-0.170966,0.387428,-0.674564,0.861621
2.225,3.45,0.429334,-0.1,1.75513,0.531401,0.368505,0.890615,-1.79583,1.75829
2.225,3.45,0.429334,0.3,3.36876,0.922239,1.34705,1.79979,-0.379315,3.21922
2.225,3.45,0.429334,0.5,4.10148,1.30326,-0.338049,2.94232,0.0756438,4.84356
2.225,3.45,0.429334,0.675,4.34647,1.40249,-5.47388,2.6732,5.79336,5.0038
2.225,3.45,0.429334,0.825,6.3722,1.82485,-7.45939,2.80184,0.181339,5.72139
2.225,3.45,0.429334,0.95,10.1244,2.52298,-0.28628,3.81887,-0.719914,8.0997
2.275,3.45,0.394726,-0.775,1.1172,0.375063,0.772386,0.666252,-0.866187,1.09472
2.275,3.45,0.394726,-0.525,1.09547,0.327856,-0.219164,0.51357,-0.737804,1.14249
2.275,3.45,0.394726,-0.3,0.849001,0.333025,-0.559768,0.558638,-3.92928,1.18296
2.275,3.45,0.394726,-0.1,1.42132,0.511464,0.820681,0.870773,-0.451076,1.82732
2.275,3.45,0.394726,0.1,1.62402,0.505437,1.58606,0.914757,0.026834,1.85453
2.275,3.45,0.394726,0.3,2.38588,0.735991,1.47333,1.4771,-0.342874,2.74279
2.275,3.45,0.394726,0.5,4.17145,1.44043,0.0357394,3.50052,-0.78506,5.65413
2.275,3.45,0.394726,0.675,5.6244,1.62674,-4.01115,3.16603,-3.8237,5.67
2.275,3.45,0.394726,0.825,9.59327,2.58099,2.54508,4.25102,8.43125,7.74253
2.275,3.45,0.394726,0.95,15.8499,3.34051,8.4646,4.62629,-1.29568,10.356
2.325,3.45,0.358299,-0.775,0.664069,0.292659,-0.536103,0.539016,-1.88643,0.982795
2.325,3.45,0.358299,-0.525,0.507828,0.22455,-0.217346,0.395282,0.231881,0.789395
2.325,3.45,0.358299,-0.3,1.03942,0.370402,-0.59102,0.656354,-7.29441,1.39463
2.325,3.45,0.358299,-0.1,1.81967,0.542384,0.336462,0.971132,-1.58894,1.99977
2.325,3.45,0.358299,0.1,1.39696,0.482279,-0.623097,0.959102,-0.684906,1.91342
2.325,3.45,0.358299,0.3,2.55355,0.750205,1.94531,1.49883,1.36818,2.94508
2.325,3.45,0.358299,0.5,3.29726,0.938656,-0.947587,2.00112,2.39811,3.75724
2.325,3.45,0.358299,0.675,3.77559,1.32255,-6.77307,2.9123,9.51123,5.53687
2.325,3.45,0.358299,0.825,8.66693,1.96306,-11.5844,2.85466,-18.5085,6.48943
2.325,3.45,0.358299,0.95,13.7399,3.23642,4.05048,5.10409,-0.810791,11.3542
2.375,3.45,0.320052,-0.775,0.431531,0.246257,1.54279,0.585114,1.65099,0.73379
2.375,3.45,0.320052,-0.525,0.498186,0.229571,-0.141411,0.412264,-0.22887,0.955771
2.375,3.45,0.320052,-0.3,0.889711,0.39119,-0.491012,0.74436,-6.00774,1.60078
2.375,3.45,0.320052,-0.1,0.744916,0.380878,0.64978,0.736233,-0.337459,1.59393
2.375,3.45,0.320052,0.3,1.94134,0.666069,1.7578,1.40214,1.89823,2.94519
2.375,3.45,0.320052,0.5,3.63253,1.23777,-0.739052,3.02937,0.675343,5.37179
2.375,3.45,0.320052,0.675,7.07216,2.48354,-1.18563,6.39464,-12.4275,11.3829
2.375,3.45,0.320052,0.825,9.33388,2.37666,-6.07302,4.1131,-25.1144,8.85454
2.425,3.45,0.280004,-0.525,0.543982,0.207462,-0.0486953,0.363687,-0.721671,0.858042
2.425,3.45,0.280004,-0.3,1.13863,0.394267,-0.591316,0.808579,6.6028,1.61753
2.425,3.45,0.280004,-0.1,0.713838,0.334522,1.19272,0.675664,-1.49344,1.46173
2.425,3.45,0.280004,0.1,0.570721,0.336367,1.634435,1.076437,0.000302502,1.58452
2.425,3.45,0.280004,0.3,2.16238,0.68905,2.07615,1.47721,0.179079,3.10369
2.425,3.45,0.280004,0.5,3.16533,1.08213,-0.885657,2.76051,0.496715,4.96379
2.425,3.45,0.280004,0.825,8.84411,2.257,-6.2462,4.15,-25.778,8.986
2.475,3.45,0.23819,-0.525,0.314516,0.143079,-0.0342815,0.267428,0.265879,0.67649
2.475,3.45,0.23819,-0.3,0.603778,0.285516,-0.426053,0.641207,1.51052,1.32957
2.475,3.45,0.23819,-0.1,0.247668,0.239485,0.462377,0.523115,0.459519,1.19768
2.475,3.45,0.23819,0.3,0.778876,0.436067,0.275565,1.13882,-0.525297,2.42651
2.475,3.45,0.23819,0.5,4.04561,1.24434,-0.169029,3.02252,0.559806,5.43916
2.475,3.45,0.23819,0.825,8.35434,2.13713,-6.41938,4.1874,-26.4398,9.11813
2.525,3.45,0.194667,-0.525,0.448028,0.171344,-0.0518118,0.323683,-0.274644,0.799405
2.525,3.45,0.194667,-0.3,0.132755,0.186158,0.00859749,0.463203,0.572166,0.933557
2.525,3.45,0.194667,-0.1,0.452783,0.242811,1.35736,0.546308,-1.33548,1.16768
2.525,3.45,0.194667,0.1,0.0260187,0.144857,-0.524106,0.355957,-0.000113438,0.824087
2.525,3.45,0.194667,0.3,0.9741,0.437018,2.43045,1.1547,-0.310403,2.47122
2.525,3.45,0.194667,0.5,2.00093,0.777559,-0.742428,2.16369,0.351867,4.27465
2.525,3.45,0.194667,0.825,10.2556,2.71813,-0.440822,6.41332,-10.0888,12.286
2.575,3.45,0.149512,-0.775,0.194562,0.144871,6.84846,0.377232,-12.9982,0.514622
2.575,3.45,0.149512,-0.525,0.14587,0.102402,-0.110636,0.246326,-0.788871,0.572373
2.575,3.45,0.149512,-0.3,0.733342,0.272257,-0.347721,0.643874,6.37393,1.3358
2.575,3.45,0.149512,-0.1,0.073631,0.147012,0.199663,0.401273,-1.74474,0.884134
2.575,3.45,0.149512,0.1,0.0770423,0.174569,-3.41808,0.470048,0.00881037,1.0212
2.575,3.45,0.149512,0.3,0.327523,0.305213,0.499782,0.905974,-0.577031,2.01795
2.575,3.45,0.149512,0.5,1.89225,0.781649,-0.234375,2.41985,0.180994,4.58704
2.575,3.45,0.149512,0.825,8.67971,2.84762,-0.641804,9.48609,-8.46195,18.1811
2.575,3.45,0.149512,0.95,11.1811,3.25226,30.0275,7.25224,-3.69804,19.6
