Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
4.2,1.826,-3.425,9.13,-14.854,1.825,-0.08,0.613,2.004,3.063,5.165
4.2,1.844,-3.531,9.22,-15.144,1.825,-0.07,0.624,2.0,3.122,5.229
4.2,1.861,-3.632,9.307,-15.406,1.825,-0.06,0.636,2.002,3.18,5.296
4.2,1.878,-3.729,9.391,-15.641,1.825,-0.05,0.647,2.011,3.237,5.364
4.2,1.895,-3.82,9.474,-15.847,1.825,-0.04,0.659,2.025,3.293,5.433
4.2,1.911,-3.906,9.553,-16.024,1.825,-0.03,0.669,2.044,3.346,5.501
4.2,1.926,-3.986,9.63,-16.171,1.825,-0.02,0.68,2.067,3.398,5.567
4.2,1.941,-4.061,9.705,-16.289,1.825,-0.01,0.689,2.094,3.445,5.631
4.2,1.955,-4.13,9.776,-16.377,1.825,0.0,0.698,2.124,3.49,5.691
4.2,1.969,-4.194,9.846,-16.435,1.825,0.01,0.706,2.156,3.53,5.746
4.2,1.982,-4.252,9.912,-16.463,1.825,0.02,0.713,2.19,3.565,5.796
4.2,1.995,-4.304,9.976,-16.46,1.825,0.03,0.719,2.225,3.595,5.839
4.2,2.007,-4.35,10.036,-16.427,1.825,0.04,0.724,2.26,3.619,5.873
4.2,2.019,-4.391,10.095,-16.364,1.825,0.05,0.727,2.295,3.637,5.899
4.2,2.03,-4.425,10.15,-16.272,1.825,0.06,0.729,2.329,3.647,5.915
4.2,2.041,-4.454,10.203,-16.15,1.825,0.07,0.73,2.362,3.651,5.921
4.2,2.05,-4.476,10.252,-15.998,1.825,0.08,0.729,2.392,3.646,5.914
4.2,2.06,-4.493,10.299,-15.819,1.825,0.09,0.726,2.42,3.632,5.894
4.2,2.069,-4.504,10.344,-15.61,1.825,0.1,0.722,2.444,3.61,5.86
4.2,2.077,-4.509,10.385,-15.375,1.825,0.11,0.716,2.464,3.578,5.811
4.2,2.085,-4.508,10.424,-15.112,1.825,0.12,0.708,2.481,3.538,5.749
4.2,2.092,-4.502,10.461,-14.824,1.825,0.13,0.698,2.495,3.491,5.677
4.2,2.099,-4.49,10.495,-14.51,1.825,0.14,0.688,2.507,3.439,5.596
4.2,2.105,-4.472,10.527,-14.171,1.825,0.15,0.677,2.518,3.383,5.508
4.2,2.111,-4.449,10.556,-13.809,1.825,0.16,0.665,2.528,3.325,5.416
4.2,2.117,-4.421,10.584,-13.425,1.825,0.17,0.653,2.538,3.265,5.321
4.2,2.122,-4.387,10.61,-13.019,1.825,0.18,0.641,2.549,3.207,5.227
4.2,2.127,-4.349,10.634,-12.592,1.825,0.19,0.63,2.562,3.15,5.134
4.2,2.131,-4.306,10.656,-12.147,1.825,0.2,0.62,2.577,3.098,5.046
4.2,2.135,-4.258,10.677,-11.683,1.825,0.21,0.61,2.594,3.05,4.963
4.2,2.139,-4.206,10.696,-11.204,1.825,0.22,0.602,2.615,3.008,4.889
4.2,2.143,-4.149,10.714,-10.708,1.825,0.23,0.595,2.641,2.975,4.826
4.2,2.146,-4.088,10.73,-10.199,1.825,0.24,0.59,2.671,2.951,4.775
4.2,2.149,-4.024,10.745,-9.678,1.825,0.25,0.587,2.707,2.937,4.74
4.2,2.152,-3.956,10.76,-9.146,1.825,0.26,0.587,2.75,2.937,4.721
