Q2[GeV2],S_l[nb/sr],S_lt[nb/sr],S_t[nb/sr],S_tt[nb/sr],W[GeV],cos_th,dS_l[nb/sr],dS_lt[nb/sr],dS_t[nb/sr],dS_tt[nb/sr]
5.0,1.537,-5.982,7.685,-21.528,1.825,0.08,1.518,3.044,7.59,9.202
5.0,1.544,-6.019,7.721,-21.251,1.825,0.09,1.51,3.075,7.552,9.127
5.0,1.551,-6.049,7.756,-20.934,1.825,0.1,1.498,3.098,7.492,9.02
5.0,1.558,-6.071,7.789,-20.578,1.825,0.11,1.482,3.111,7.411,8.88
5.0,1.564,-6.086,7.819,-20.183,1.825,0.12,1.462,3.116,7.312,8.711
5.0,1.57,-6.094,7.848,-19.752,1.825,0.13,1.439,3.116,7.197,8.518
5.0,1.575,-6.096,7.876,-19.284,1.825,0.14,1.414,3.111,7.071,8.306
5.0,1.58,-6.09,7.901,-18.782,1.825,0.15,1.387,3.104,6.936,8.08
5.0,1.585,-6.077,7.926,-18.246,1.825,0.16,1.359,3.097,6.797,7.846
5.0,1.59,-6.058,7.949,-17.679,1.825,0.17,1.331,3.091,6.656,7.609
5.0,1.594,-6.033,7.97,-17.082,1.825,0.18,1.304,3.089,6.518,7.373
5.0,1.598,-6.001,7.991,-16.456,1.825,0.19,1.277,3.093,6.386,7.143
5.0,1.602,-5.963,8.01,-15.803,1.825,0.2,1.253,3.104,6.264,6.926
5.0,1.606,-5.919,8.029,-15.126,1.825,0.21,1.231,3.124,6.154,6.726
5.0,1.609,-5.869,8.046,-14.425,1.825,0.22,1.212,3.155,6.06,6.547
5.0,1.613,-5.814,8.063,-13.704,1.825,0.23,1.197,3.2,5.986,6.396
5.0,1.616,-5.754,8.079,-12.963,1.825,0.24,1.187,3.26,5.936,6.277
5.0,1.619,-5.688,8.094,-12.206,1.825,0.25,1.183,3.337,5.913,6.196
5.0,1.622,-5.618,8.109,-11.434,1.825,0.26,1.184,3.432,5.92,6.157
5.0,1.625,-5.544,8.123,-10.65,1.825,0.27,1.192,3.549,5.961,6.166
5.0,1.627,-5.465,8.137,-9.855,1.825,0.28,1.208,3.688,6.04,6.228
5.0,1.63,-5.382,8.151,-9.053,1.825,0.29,1.232,3.852,6.159,6.348
5.0,1.633,-5.296,8.164,-8.245,1.825,0.3,1.265,4.042,6.323,6.53
5.0,1.636,-5.206,8.178,-7.434,1.825,0.31,1.307,4.261,6.533,6.779
5.0,1.638,-5.114,8.191,-6.623,1.825,0.32,1.357,4.503,6.784,7.087
5.0,1.641,-5.019,8.204,-5.813,1.825,0.33,1.414,4.765,7.07,7.446
5.0,1.643,-4.921,8.217,-5.008,1.825,0.34,1.477,5.042,7.383,7.848
5.0,1.646,-4.822,8.229,-4.209,1.825,0.35,1.543,5.33,7.717,8.284
5.0,1.648,-4.721,8.241,-3.42,1.825,0.36,1.613,5.625,8.065,8.745
5.0,1.651,-4.62,8.253,-2.642,1.825,0.37,1.684,5.923,8.421,9.223
5.0,1.653,-4.517,8.264,-1.879,1.825,0.38,1.755,6.218,8.776,9.709
5.0,1.655,-4.414,8.275,-1.132,1.825,0.39,1.825,6.507,9.126,10.195
5.0,1.657,-4.311,8.286,-0.405,1.825,0.4,1.892,6.784,9.462,10.672
5.0,1.659,-4.209,8.295,0.302,1.825,0.41,1.956,7.047,9.778,11.132
5.0,1.661,-4.107,8.305,0.984,1.825,0.42,2.014,7.29,10.068,11.566
5.0,1.663,-4.007,8.313,1.64,1.825,0.43,2.065,7.509,10.324,11.965
5.0,1.664,-3.908,8.321,2.267,1.825,0.44,2.108,7.7,10.54,12.321
5.0,1.666,-3.811,8.329,2.864,1.825,0.45,2.142,7.858,10.708,12.626
5.0,1.667,-3.717,8.336,3.428,1.825,0.46,2.165,7.979,10.823,12.87
5.0,1.668,-3.626,8.342,3.957,1.825,0.47,2.176,8.058,10.878,13.046
5.0,1.669,-3.538,8.347,4.449,1.825,0.48,2.173,8.092,10.864,13.145
5.0,1.67,-3.453,8.352,4.902,1.825,0.49,2.155,8.075,10.777,13.157
5.0,1.671,-3.373,8.356,5.315,1.825,0.5,2.122,8.004,10.609,13.076
5.0,1.672,-3.298,8.36,5.686,1.825,0.51,2.071,7.876,10.355,12.895
5.0,1.673,-3.227,8.364,6.012,1.825,0.52,2.005,7.695,10.025,12.622
5.0,1.673,-3.161,8.367,6.294,1.825,0.53,1.926,7.468,9.628,12.271
